date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:22:05	146/146	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Aug%202022%2003:52:04%20GMT	https://live.21lab.co/robots.txt		(from )
09:22:05	143182/143182	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2003:51:12%20GMT	https://live.21lab.co/nanosoft/home-3/	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/home-3/index.html	(from )
09:22:07	1452272/1452272	---M-Z	200	added ('OK')	text/css	etag:%22620a205a-2acc1%22	https://live.21lab.co/nanosoft/wp-content/cache/min/1/05a627ee71fd679f07be0c539eccb314.css	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-content/cache/min/1/05a627ee71fd679f07be0c539eccb314.css	(from https://live.21lab.co/nanosoft/home-3/)
09:22:08	181415/181415	---M--	200	added ('OK')	image/jpeg	etag:%2261e689b9-2c4a7%22	https://live.21lab.co/nanosoft/wp-content/uploads/2018/08/content-bottom-bg.jpg	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-content/uploads/2018/08/content-bottom-bg.jpg	(from https://live.21lab.co/nanosoft/home-3/)
09:22:09	89521/89521	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261e685a7-15db1%22	https://live.21lab.co/nanosoft/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-includes/js/jquery/jquery.minaf6c.js	(from https://live.21lab.co/nanosoft/home-3/)
09:22:09	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261e685a7-2bd8%22	https://live.21lab.co/nanosoft/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://live.21lab.co/nanosoft/home-3/)
09:22:10	24512/24512	---M-Z	200	added ('OK')	application/javascript	etag:%22620a1f51-18f9%22	https://live.21lab.co/nanosoft/wp-content/cache/min/1/nanosoft/wp-content/plugins/wp-video-lightbox/js/jquery.prettyPhoto.js?ver=1644830545	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-content/cache/min/1/nanosoft/wp-content/plugins/wp-video-lightbox/js/jquery.prettyPhoto7b33.js	(from https://live.21lab.co/nanosoft/home-3/)
09:22:10	6584/6584	---M-Z	200	added ('OK')	application/javascript	etag:%22620a1f51-52e%22	https://live.21lab.co/nanosoft/wp-content/cache/min/1/nanosoft/wp-content/plugins/wp-video-lightbox/js/video-lightbox.js?ver=1644830545	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-content/cache/min/1/nanosoft/wp-content/plugins/wp-video-lightbox/js/video-lightbox7b33.js	(from https://live.21lab.co/nanosoft/home-3/)
09:22:11	857/857	---M--	200	added ('OK')	image/png	etag:%2262088486-359%22	https://live.21lab.co/nanosoft/wp-content/uploads/2018/10/cropped-favico-1-32x32.png	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-content/uploads/2018/10/cropped-favico-1-32x32.png	(from https://live.21lab.co/nanosoft/home-3/)
09:22:11	8535/8535	---M--	200	added ('OK')	image/png	etag:%2262088486-2157%22	https://live.21lab.co/nanosoft/wp-content/uploads/2018/10/cropped-favico-1-192x192.png	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-content/uploads/2018/10/cropped-favico-1-192x192.png	(from https://live.21lab.co/nanosoft/home-3/)
09:22:12	25823/25823	---M--	200	added ('OK')	image/png	etag:%2262088486-64df%22	https://live.21lab.co/nanosoft/wp-content/uploads/2018/10/cropped-favico-1-180x180.png	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-content/uploads/2018/10/cropped-favico-1-180x180.png	(from https://live.21lab.co/nanosoft/home-3/)
09:22:13	5119/5119	---M--	200	added ('OK')	image/png	etag:%2261e689b9-13ff%22	https://live.21lab.co/nanosoft/wp-content/uploads/2018/10/logo.png	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-content/uploads/2018/10/logo.png	(from https://live.21lab.co/nanosoft/home-3/)
09:22:13	78893/78893	---M--	200	added ('OK')	image/jpeg	etag:%2261e689b9-1342d%22	https://live.21lab.co/nanosoft/wp-content/uploads/2018/09/bg-2.jpg?id=1399	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-content/uploads/2018/09/bg-2d1a2.jpg	(from https://live.21lab.co/nanosoft/home-3/)
09:22:13	87876/87876	---M--	200	added ('OK')	image/jpeg	etag:%2261e68bee-15744%22	https://live.21lab.co/nanosoft/wp-content/uploads/2018/08/308-name05821-chim-eye-1170x700.jpg	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-content/uploads/2018/08/308-name05821-chim-eye-1170x700.jpg	(from https://live.21lab.co/nanosoft/home-3/)
09:22:14	78183/78183	---M--	200	added ('OK')	image/jpeg	etag:%2262088833-13167%22	https://live.21lab.co/nanosoft/wp-content/uploads/2018/05/285-jir-60871-nam-eye-id-392451-jpeg1-800x494.jpg	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-content/uploads/2018/05/285-jir-60871-nam-eye-id-392451-jpeg1-800x494.jpg	(from https://live.21lab.co/nanosoft/home-3/)
09:22:14	79918/79918	---M--	200	added ('OK')	image/jpeg	etag:%2261e68bdb-1382e%22	https://live.21lab.co/nanosoft/wp-content/uploads/2018/05/imgix-391813-unsplash1-800x494.jpg	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-content/uploads/2018/05/imgix-391813-unsplash1-800x494.jpg	(from https://live.21lab.co/nanosoft/home-3/)
09:22:14	3184/3184	---M--	200	added ('OK')	image/png	etag:%2261e689b9-c70%22	https://live.21lab.co/nanosoft/wp-content/uploads/2018/08/ft-logo.png	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-content/uploads/2018/08/ft-logo.png	(from https://live.21lab.co/nanosoft/home-3/)
09:22:15	309883/309883	---M-Z	200	added ('OK')	application/javascript	etag:%22620a1f52-11ced%22	https://live.21lab.co/nanosoft/wp-content/cache/min/1/nanosoft/wp-content/themes/nanosoft/assets/js/components.js?ver=1644830546	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-content/cache/min/1/nanosoft/wp-content/themes/nanosoft/assets/js/componentsc841.js	(from https://live.21lab.co/nanosoft/home-3/)
09:22:16	16393/16393	---M-Z	200	added ('OK')	application/javascript	etag:%22620a1f52-114c%22	https://live.21lab.co/nanosoft/wp-content/cache/min/1/nanosoft/wp-content/themes/nanosoft/assets/js/theme.js?ver=1644830546	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-content/cache/min/1/nanosoft/wp-content/themes/nanosoft/assets/js/themec841.js	(from https://live.21lab.co/nanosoft/home-3/)
09:22:16	6475/6475	---MCZ	200	added ('OK')	application/javascript	etag:W/%22628d4d86-194b%22	https://live.21lab.co/nanosoft/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.9	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-includes/js/dist/vendor/regenerator-runtime.min3937.js	(from https://live.21lab.co/nanosoft/home-3/)
09:22:17	19142/19142	---MCZ	200	added ('OK')	application/javascript	etag:W/%22628d4d86-4ac6%22	https://live.21lab.co/nanosoft/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://live.21lab.co/nanosoft/home-3/)
09:22:17	9719/9719	---M-Z	200	added ('OK')	application/javascript	etag:%22620a1f52-cd5%22	https://live.21lab.co/nanosoft/wp-content/cache/min/1/nanosoft/wp-content/plugins/contact-form-7/includes/js/index.js?ver=1644830546	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-content/cache/min/1/nanosoft/wp-content/plugins/contact-form-7/includes/js/indexc841.js	(from https://live.21lab.co/nanosoft/home-3/)
09:22:17	11444/11444	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261e6898d-2cb4%22	https://live.21lab.co/nanosoft/wp-content/plugins/devvn-image-hotspot/frontend/js/jquery.ihotspot.min.js?ver=1.2.1	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-content/plugins/devvn-image-hotspot/frontend/js/jquery.ihotspot.min1576.js	(from https://live.21lab.co/nanosoft/home-3/)
09:22:18	26001/26001	---MCZ	200	added ('OK')	application/javascript	etag:W/%22620867fe-6591%22	https://live.21lab.co/nanosoft/wp-content/plugins/page-scroll-to-id/js/page-scroll-to-id.min.js?ver=1.7.5	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-content/plugins/page-scroll-to-id/js/page-scroll-to-id.min93f6.js	(from https://live.21lab.co/nanosoft/home-3/)
09:22:18	128668/128668	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261e68993-1f69c%22	https://live.21lab.co/nanosoft/wp-content/plugins/revslider/public/assets/js/rbtools.min.js?ver=6.5.14	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-content/plugins/revslider/public/assets/js/rbtools.min097f.js	(from https://live.21lab.co/nanosoft/home-3/)
09:22:19	385173/385173	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261e68993-5e095%22	https://live.21lab.co/nanosoft/wp-content/plugins/revslider/public/assets/js/rs6.min.js?ver=6.5.14	C:/My%20Web%20Sites/my%20web/live.21lab.co/nanosoft/wp-content/plugins/revslider/public/assets/js/rs6.min097f.js	(from https://live.21lab.co/nanosoft/home-3/)
